month,total_buy_price,total_selling_price,total_net_revenue,total_profit,count_sales
2024-09-01,296.81,437.91,372.22,75.41,109
2024-10-01,667.28,943.05,829.03,161.7,241
2024-11-01,450.98,607.19,551.52,100.54,142
2024-12-01,1023.27,1321.97,1205.11,181.86,322
2025-01-01,1234.85,1719.88,1554.52,319.62,364
2025-02-01,1504.26,2039.3,1829.97,325.69,312
2025-03-01,3041.55,3904.81,3548.08,506.55,478
2025-04-01,697.64,849.69,781.47,83.83,273
2025-05-01,978.91,1015.87,934.66,-44.27,472
2025-06-01,1633.88,1870.42,1720.53,86.65,362
2025-07-01,4448.54,5410.61,4991.28,542.65,602
2025-08-01,3397.89,3987.2,3786.99,388.99,633
2025-09-01,873.67,1060.24,1003.43,129.76,267
