transfer_id,buy_price,buy_date,name,wear,uuid,meta_offer_id,stackable,sale_id,offer_date_created,offer_date_trade_unlock,state,offer_date_sold,time_to_sell,commission_factor,selling_price,min_selling_price,profit
GXN4L7H8EE3L,1.66,2025-01-17,Desert Eagle | Heat Treated (Battle-Scarred),94.81,f49f113c-13f7-4777-b239-30f27c9a8fc2,63871040,False,f49f113c-13f7-4777-b239-30f27c9a8fc2,2025-07-24,,AVAILABLE,,,0.05,1.62,1.76,-0.12
GXNN5SGLHLZ4,1.63,2025-01-18,Desert Eagle | Heat Treated (Battle-Scarred),72.16,33140372-a824-4f14-baef-dcf17d05cea5,63871063,False,33140372-a824-4f14-baef-dcf17d05cea5,2025-07-24,,AVAILABLE,,,0.05,1.59,1.73,-0.12
GRFRUF447T02,100.0,2025-03-10,AWP | Asiimov (Well-Worn),39.28,0eb57550-60b6-4f38-8e52-d9c31d614553,63871045,False,0eb57550-60b6-4f38-8e52-d9c31d614553,2025-07-24,,AVAILABLE,,,0.05,104.22,105.27,-0.99
G0DK7UZF46WG,0.62,2025-04-15,Kilowatt Case,,,48702856,True,e7dcba91-a8cf-4461-adab-f703380e3d27,2025-07-24,,AVAILABLE,,,0.05,0.66,0.66,0.01
GHTEW8U2W9ZP,0.8,2025-04-15,Sticker | Bolt Charge,,,55478590,True,a43f4b3c-4e89-4c52-8dfe-60d9ff88c987,2025-07-24,,AVAILABLE,,,0.05,0.85,0.85,0.01
GHUT9K5WRWKT,0.62,2025-04-15,Kilowatt Case,,,48702856,True,c37269e8-8bb7-4027-a4a2-e05640d4d50a,2025-07-24,,AVAILABLE,,,0.05,0.66,0.66,0.01
G84EPEK2KL9A,0.53,2025-04-20,Kilowatt Case,,,48702856,True,47d8c5ee-96be-4e96-b222-a523bbfae7ac,2025-07-24,,AVAILABLE,,,0.05,0.57,0.57,0.01
G85S3KNATE7K,0.53,2025-04-20,Kilowatt Case,,,48702856,True,a9053f52-c136-433d-a77e-479cb4dd3377,2025-07-24,,AVAILABLE,,,0.05,0.57,0.57,0.01
GKR394UK3XRX,0.53,2025-04-20,Kilowatt Case,,,48702856,True,d288d23b-7227-4baa-922e-13269c0b402c,2025-07-24,,AVAILABLE,,,0.05,0.57,0.57,0.01
G726AE9REHTK,0.52,2025-04-20,Kilowatt Case,,,48702856,True,58e4ac8e-d76b-402f-97bf-2f93c209e2d4,2025-07-24,,AVAILABLE,,,0.05,0.56,0.56,0.01
G4CW0PE4T7GS,0.5,2025-04-20,Kilowatt Case,,,48702856,True,2d314fb8-eb3b-4c55-9ff6-23d3038a9bf9,2025-07-24,,AVAILABLE,,,0.05,0.54,0.54,0.01
