name,avg_time_to_sell,sales_frequency,avg_profit,total_profit,efficiency
Copenhagen 2024 Contenders Sticker Capsule,0.01,10,0.23,2.3,1.0
D Squadron Officer | NZSAS,0.01,1,18.48,18.48,0.8
M4A1-S | Decimator (Factory New),0.01,1,4.02,4.02,0.18
Operation Hydra Case,4.53,17,4.32,73.44,0.12
Desert Eagle | Printstream (Battle-Scarred),0.01,1,2.34,2.34,0.1
'The Doctor' Romanov | Sabre,0.01,1,2.2,2.2,0.1
AWP | Neo-Noir (Field-Tested),0.01,1,1.97,1.97,0.09
Glock-18 | Neo-Noir (Minimal Wear),0.01,1,1.87,1.87,0.08
StatTrak™ M4A1-S | Night Terror (Factory New),5.95,20,2.17,43.4,0.07
AWP | Atheris (Minimal Wear),1.73,15,1.2,18.0,0.07
Chem-Haz Specialist | SWAT,0.01,1,1.36,1.36,0.06
Tec-9 | Avalanche (Minimal Wear),0.01,1,1.22,1.22,0.06
Sticker | Evil Geniuses (Gold) | 2020 RMR,0.01,2,0.33,0.66,0.06
AK-47 | Inheritance (Field-Tested),3.75,8,5.95,47.6,0.05
M4A1-S | Black Lotus (Field-Tested),3.88,17,1.2,20.4,0.04
M4A1-S | Black Lotus (Minimal Wear),3.95,19,0.91,17.29,0.04
Desert Eagle | Meteorite (Minimal Wear),0.01,1,0.9,0.9,0.04
Sticker | Battle Scarred,0.01,1,0.8,0.8,0.04
XM1014 | Entombed (Field-Tested),0.01,1,0.77,0.77,0.04
StatTrak™ USP-S | Ticket to Hell (Factory New),12.76,21,1.66,34.86,0.03
MP7 | Fade (Factory New),10.0,18,1.74,31.32,0.03
Ground Rebel  | Elite Crew,6.35,17,1.53,26.01,0.03
Galil AR | Eco (Field-Tested),3.85,13,1.2,15.6,0.03
Sticker | Evil Geniuses (Holo) | 2020 RMR,3.03,32,0.2,6.4,0.03
Sticker | Gambit Gaming (Holo) | Stockholm 2021,0.01,1,0.57,0.57,0.03
CS:GO Weapon Case,13.0,8,9.74,77.92,0.02
AWP | Atheris (Factory New),10.29,14,2.54,35.56,0.02
M4A4 | Desolate Space (Field-Tested),4.22,9,2.34,21.06,0.02
Sticker | Bolt Charge,24.85,41,0.5,20.5,0.02
StatTrak™ USP-S | Ticket to Hell (Minimal Wear),9.22,23,0.83,19.09,0.02
Operator | FBI SWAT,8.89,18,1.06,19.08,0.02
Desert Eagle | Tilted (Minimal Wear),17.37,43,0.33,14.19,0.02
Five-SeveN | Urban Hazard (Factory New),6.06,18,0.54,9.72,0.02
MP9 | Buff Blue (Factory New),1.0,7,0.92,6.44,0.02
Spectrum 2 Case,0.17,6,0.24,1.44,0.02
Sticker | North (Holo) | 2020 RMR,0.14,7,0.11,0.77,0.02
USP-S | Neo-Noir (Field-Tested),0.01,1,0.39,0.39,0.02
P250 | Muertos (Minimal Wear),0.01,1,0.34,0.34,0.02
Prisma 2 Case,0.01,2,0.11,0.22,0.02
AK-47 | Inheritance (Minimal Wear),9.0,3,15.06,45.18,0.01
Number K | The Professionals,8.5,6,5.7,34.2,0.01
USP-S | Blueprint (Minimal Wear),21.38,16,2.03,32.48,0.01
FAMAS | Mecha Industries (Minimal Wear),10.89,9,3.51,31.59,0.01
AWP | Printstream (Field-Tested),14.12,8,3.34,26.72,0.01
Sticker | Loving Eyes (Holo),12.92,13,1.97,25.61,0.01
M4A4 | Evil Daimyo (Factory New),35.36,14,1.74,24.36,0.01
AWP | Chrome Cannon (Field-Tested),9.5,8,3.04,24.32,0.01
FAMAS | ZX Spectron (Minimal Wear),43.93,15,1.58,23.7,0.01
AK-47 | Crossfade (Factory New),29.13,23,1.02,23.46,0.01
Charm | Die-cast AK,59.5,16,1.34,21.44,0.01
M4A1-S | Wash me plz (Factory New),45.8,41,0.52,21.32,0.01
SSG 08 | Dragonfire (Minimal Wear),5.67,6,3.5,21.0,0.01
eSports 2014 Summer Case,17.0,10,1.91,19.1,0.01
Sticker | Ninjas in Pyjamas (Holo) | Stockholm 2021,8.0,6,3.16,18.96,0.01
Sticker | Winding Scorch (Foil),27.28,25,0.73,18.25,0.01
eSports 2013 Winter Case,27.5,16,1.14,18.24,0.01
Sir Bloody Silent Darryl | The Professionals,21.0,7,2.6,18.2,0.01
M4A4 | Desolate Space (Minimal Wear),6.83,6,3.03,18.18,0.01
Sticker | Vitality (Holo) | Paris 2023,25.83,41,0.44,18.04,0.01
AK-47 | Nightwish (Minimal Wear),8.75,8,1.97,15.76,0.01
StatTrak™ M4A1-S | Emphorosaur-S (Minimal Wear),22.12,16,0.97,15.52,0.01
"Music Kit | Knock2, dashstar*",18.9,10,1.52,15.2,0.01
AWP | Black Nile (Factory New),7.15,13,1.11,14.43,0.01
Safecracker Voltzmann | The Professionals,9.0,7,2.04,14.28,0.01
Bloody Darryl The Strapped | The Professionals,9.0,4,3.35,13.4,0.01
AWP | Duality (Minimal Wear),30.0,20,0.66,13.2,0.01
Sticker | Boom Trail (Glitter),25.54,39,0.33,12.87,0.01
Desert Eagle | Printstream (Minimal Wear),2.5,4,3.19,12.76,0.01
AK-47 | Head Shot (Field-Tested),9.0,12,1.04,12.48,0.01
StatTrak™ Glock-18 | Moonrise (Minimal Wear),19.27,11,1.13,12.43,0.01
Winter Offensive Weapon Case,8.91,11,1.12,12.32,0.01
