name,selling_price,amount
"Music Kit | bbno$, u mad!",3.78,1
USP-S | Guardian (Factory New),18.61,1
MP9 | Buff Blue (Factory New),0.72,1
AK-47 | Slate (Battle-Scarred),2.72,1
StatTrak™ M4A1-S | Emphorosaur-S (Field-Tested),2.08,1
Desert Eagle | Heat Treated (Minimal Wear),4.62,1
Desert Eagle | Heat Treated (Minimal Wear),4.62,1
StatTrak™ M4A1-S | Emphorosaur-S (Field-Tested),2.08,1
AWP | Pit Viper (Minimal Wear),1.86,1
StatTrak™ USP-S | Ticket to Hell (Minimal Wear),2.91,1
"Music Kit | The Verkkars, EZ4ENCE",4.69,1
Easy Peasy Pin,4.01,1
Sticker | Battle Scarred (Holo),15.43,1
Sticker | 100 Thieves (Holo) | 2020 RMR,0.36,2
Sticker | Vitality (Holo) | 2020 RMR,0.38,2
Sticker | FURIA (Holo) | 2020 RMR,1.32,2
Sticker | Evil Geniuses (Holo) | 2020 RMR,1.75,3
Sticker | Boom (Holo) | 2020 RMR,0.98,1
Sticker | GODSENT (Holo) | 2020 RMR,0.52,1
Sticker | Fnatic (Holo) | 2020 RMR,0.81,2
Stockholm 2021 Legends Sticker Capsule,5.16,1
Antwerp 2022 Contenders Sticker Capsule,1.27,11
10 Year Birthday Sticker Capsule,0.93,1
Sticker | Vitality (Holo) | Paris 2023,2.25,1
Sticker | Vitality (Glitter) | Copenhagen 2024,0.31,4
Sticker | SAW (Glitter) | Copenhagen 2024,0.97,1
Sticker | PGL (Holo) | Copenhagen 2024,1.82,2
Sticker | Hypnoteyes (Holo),3.26,1
Sticker | Hypnoteyes (Holo),3.31,1
Sticker | Perfect World (Glitter) | Shanghai 2024,0.48,2
Sticker | Perfect World (Glitter) | Shanghai 2024,0.48,1
