name,buy_price,selling_price,min_profit,mean_profitability,tier
MP9 | Hydra (Minimal Wear),11.91,20.9,5.85,False,2
M4A1-S | Liquidation (Minimal Wear),10.25,18.14,5.17,False,2
AWP | Black Nile (Factory New),5.87,10.4,2.97,False,3
MP7 | Fade (Factory New),6.08,10.22,2.61,False,3
USP-S | Ticket to Hell (Factory New),3.33,5.9,1.69,False,3
AWP | Black Nile (Field-Tested),2.35,3.96,1.02,False,3
AWP | Black Nile (Battle-Scarred),2.01,3.92,1.32,False,4
M4A1-S | Mud-Spec (Factory New),1.6,2.84,0.81,False,4
P250 | Franklin (Minimal Wear),1.49,2.64,0.75,False,4
AK-47 | Wintergreen (Field-Tested),1.46,2.46,0.63,False,4
Dual Berettas | Polished Malachite (Factory New),1.24,2.2,0.63,False,4
StatTrak™ M4A1-S | Emphorosaur-S (Field-Tested),1.19,2.0,0.51,False,4
USP-S | Check Engine (Factory New),0.99,1.68,0.44,False,5
Glock-18 | Nuclear Garden (Field-Tested),0.89,1.51,0.39,False,5
Galil AR | Green Apple (Factory New),0.85,1.43,0.37,False,5
SSG 08 | Zeno (Minimal Wear),0.51,1.02,0.36,False,5
Five-SeveN | Sky Blue (Factory New),0.39,0.84,0.32,False,5
M4A4 | Converter (Minimal Wear),0.2,0.61,0.32,False,5
MP9 | Buff Blue (Factory New),0.51,0.96,0.31,False,5
MAC-10 | Pipsqueak (Field-Tested),0.63,1.1,0.31,False,5
Sticker | Boom Blast (Glitter),0.09,0.47,0.31,False,5
Sticker | From The Deep,0.21,0.61,0.31,False,5
M4A1-S | Wash me plz (Factory New),0.5,0.95,0.31,False,5
M4A1-S | Mud-Spec (Minimal Wear),0.09,0.47,0.31,False,5
Sticker | Boom Epicenter (Glitter),0.01,0.37,0.3,False,5
Sticker | Scorch Loop,0.03,0.39,0.3,False,5
Tec-9 | Blue Blast (Factory New),0.01,0.37,0.3,False,5
Glock-18 | Ocean Topo (Minimal Wear),0.04,0.4,0.3,False,5
★ Sport Gloves | Vice (Field-Tested),348.47,583.16,147.22,True,1
★ Sport Gloves | Amphibious (Field-Tested),234.09,408.98,113.54,True,1
★ Skeleton Knife | Marble Fade (Factory New),261.43,415.63,91.86,True,1
M4A4 | Buzz Kill (Field-Tested),211.6,354.12,89.4,True,1
SSG 08 | Dragonfire (Minimal Wear),232.59,369.77,81.71,True,1
★ Bayonet | Tiger Tooth (Factory New),183.68,292.02,64.54,True,1
★ Hand Wraps | Cobalt Skulls (Field-Tested),177.77,256.94,40.63,True,1
M4A1-S | Cyrex (Factory New),112.89,179.49,39.68,True,1
