name,
Shanghai 2024 Legends Sticker Capsule,
Desert Eagle | Heat Treated (Minimal Wear),
Sticker | Scorch Loop,
Dreams & Nightmares Case,
Charm | Whittle Knife,
Gallery Case,
Sticker | High Heat,
Name Tag,
Austin 2025 Legends Autograph Capsule,
Spectrum 2 Case,
Clutch Case,
Copenhagen 2024 Contenders Sticker Capsule,
Five-SeveN | Sky Blue (Factory New),
AWP | Atheris (Field-Tested),
AK-47 | Phantom Disruptor (Minimal Wear),
Glock-18 | Water Elemental (Field-Tested),
SSG 08 | Zeno (Minimal Wear),
StatTrak™ Desert Eagle | Blue Ply (Minimal Wear),
Sticker | Evil Geniuses (Holo) | 2020 RMR,
Austin 2025 Legends Autograph Capsule,
Operation Phoenix Weapon Case,
MP9 | Food Chain (Field-Tested),
Gamma Case,
USP-S | Jawbreaker (Field-Tested),
AK-47 | Ice Coaled (Field-Tested),
AK-47 | Slate (Minimal Wear),
Operation Wildfire Case,
CS:GO Weapon Case,
Operation Hydra Case,
AK-47 | Inheritance (Minimal Wear),
AK-47 | Inheritance (Field-Tested),
StatTrak™ M4A1-S | Night Terror (Factory New),
MP7 | Fade (Factory New),
AWP | Atheris (Factory New),
M4A1-S | Solitude (Minimal Wear),
StatTrak™ USP-S | Ticket to Hell (Factory New),
Number K | The Professionals,
USP-S | Blueprint (Minimal Wear),
FAMAS | Mecha Industries (Minimal Wear),
★ Moto Gloves | 3rd Commando Company (Field-Tested),
AWP | Printstream (Field-Tested),
Operator | FBI SWAT,
Ground Rebel  | Elite Crew,
AWP | Chrome Cannon (Field-Tested),
Sticker | Loving Eyes (Holo),
StatTrak™ USP-S | Ticket to Hell (Minimal Wear),
M4A4 | Evil Daimyo (Factory New),
FAMAS | ZX Spectron (Minimal Wear),
AK-47 | Crossfade (Factory New),
AK-47 | Redline (Field-Tested),
M4A4 | Desolate Space (Minimal Wear),
3rd Commando Company | KSK,
M4A1-S | Wash me plz (Factory New),
Charm | Die-cast AK,
M4A4 | Desolate Space (Field-Tested),
eSports 2014 Summer Case,
SSG 08 | Dragonfire (Minimal Wear),
Sir Bloody Miami Darryl | The Professionals,
M4A1-S | Black Lotus (Field-Tested),
Sticker | Bolt Charge,
Sticker | Vitality (Holo) | Paris 2023,
Sticker | Ninjas in Pyjamas (Holo) | Stockholm 2021,
Sticker | Winding Scorch (Foil),
M4A1-S | Black Lotus (Minimal Wear),
D Squadron Officer | NZSAS,
AK-47 | Nightwish (Minimal Wear),
eSports 2013 Winter Case,
Sir Bloody Silent Darryl | The Professionals,
"Music Kit | Knock2, dashstar*",
AWP | Atheris (Minimal Wear),
Desert Eagle | Tilted (Minimal Wear),
Sticker | Gold Web (Foil),
StatTrak™ M4A1-S | Emphorosaur-S (Minimal Wear),
MP9 | Starlight Protector (Field-Tested),
USP-S | Check Engine (Factory New),
Sticker | Battle Scarred (Holo),
P250 | Visions (Factory New),
Desert Eagle | Tilted (Factory New),
Galil AR | Eco (Field-Tested),
SSG 08 | Turbo Peek (Minimal Wear),
StatTrak™ M4A1-S | Night Terror (Minimal Wear),
AK-47 | The Empress (Minimal Wear),
★ Driver Gloves | Black Tie (Field-Tested),
USP-S | Ticket to Hell (Factory New),
AWP | Duality (Minimal Wear),
AWP | Black Nile (Factory New),
Safecracker Voltzmann | The Professionals,
Glock-18 | Nuclear Garden (Minimal Wear),
MP9 | Starlight Protector (Minimal Wear),
Bloody Darryl The Strapped | The Professionals,
AK-47 | Legion of Anubis (Minimal Wear),
Easy Peasy Pin,
Sticker | Boom Trail (Glitter),
AK-47 | Wintergreen (Minimal Wear),
Desert Eagle | Printstream (Minimal Wear),
Glock-18 | Nuclear Garden (Factory New),
AK-47 | Asiimov (Minimal Wear),
MAC-10 | Neon Rider (Minimal Wear),
AK-47 | Head Shot (Field-Tested),
AWP | Asiimov (Field-Tested),
StatTrak™ Glock-18 | Moonrise (Minimal Wear),
Winter Offensive Weapon Case,
"Music Kit | The Verkkars, EZ4ENCE",
USP-S | Guardian (Factory New),
StatTrak™ USP-S | Black Lotus (Minimal Wear),
Galil AR | Tuxedo (Factory New),
Sticker | Team Liquid (Holo) | Stockholm 2021,
Michael Syfers  | FBI Sniper,
StatTrak™ Desert Eagle | Printstream (Field-Tested),
StatTrak™ M4A1-S | Night Terror (Field-Tested),
M4A1-S | Golden Coil (Field-Tested),
★ Shadow Daggers | Doppler (Factory New),
Special Agent Ava | FBI,
Five-SeveN | Urban Hazard (Factory New),
M4A4 | Temukau (Minimal Wear),
StatTrak™ Glock-18 | Umbral Rabbit (Factory New),
M4A4 | Converter (Factory New),
Desert Eagle | Serpent Strike (Factory New),
USP-S | Cortex (Minimal Wear),
Glock-18 | Vogue (Factory New),
Desert Eagle | Printstream (Field-Tested),
AWP | Acheron (Factory New),
Glove Case,
M4A1-S | Mud-Spec (Factory New),
Sticker | Bolt Strike,
USP-S | Alpine Camo (Minimal Wear),
USP-S | Cortex (Field-Tested),
Sticker | Flex,
Sticker | Lotus (Glitter),
Glock-18 | Shinobu (Field-Tested),
"Music Kit | bbno$, u mad!",
Glock-18 | Shinobu (Minimal Wear),
★ Huntsman Knife | Marble Fade (Factory New),
Maximus | Sabre,
