name,doppler_phase,sales_in_last_x_days
Sticker | Mastermind (Holo),,191
Sticker | Web Stuck (Holo),,172
Sticker | Scorch Loop (Reverse),,160
Sticker | Bolt Strike (Foil),,115
Sticker | Broken Fang (Holo),,104
Operation Broken Fang Case,,100
Antwerp 2022 Challengers Sticker Capsule,,100
Antwerp 2022 Contenders Autograph Capsule,,100
Antwerp 2022 Contenders Sticker Capsule,,100
Antwerp 2022 Legends Autograph Capsule,,100
Antwerp 2022 Legends Sticker Capsule,,100
Anubis Collection Package,,100
M4A1-S | Black Lotus (Field-Tested),,100
Paris 2023 Legends Sticker Capsule,,100
Austin 2025 Legends Autograph Capsule,,100
Austin 2025 Legends Sticker Capsule,,100
Glock-18 | High Beam (Factory New),,100
Berlin 2019 Minor Challengers (Holo-Foil),,100
Winter Offensive Weapon Case,,100
Sticker | Rainbow Route (Holo),,100
Name Tag,,100
Sticker | GamerLegion (Glitter) | Copenhagen 2024,,100
Prisma 2 Case,,100
Lt. Commander Ricksaw | NSWC SEAL,,100
SSG 08 | Acid Fade (Factory New),,100
Sticker | FaZe Clan | Copenhagen 2024,,100
AWP | Atheris (Minimal Wear),,100
SG 553 | Bleached (Factory New),,100
Sticker | Fly High,,100
Kilowatt Case,,100
Rio 2022 Legends Sticker Capsule,,100
Prisma Case,,100
Rio 2022 Contenders Sticker Capsule,,100
Rio 2022 Challengers Sticker Capsule,,100
Revolver Case,,100
Revolution Case,,100
Recoil Case,,100
R8 Revolver | Tango (Field-Tested),,100
Dreams & Nightmares Case,,100
Paris 2023 Legends Autograph Capsule,,100
Operation Phoenix Weapon Case,,100
Chroma Case,,100
Operation Riptide Case,,100
Operation Vanguard Weapon Case,,100
Operation Wildfire Case,,100
Operation Breakout Weapon Case,,100
Gallery Case,,100
Danger Zone Case,,100
Copenhagen 2024 Legends Sticker Capsule,,100
Copenhagen 2024 Contenders Sticker Capsule,,100
Copenhagen 2024 Challengers Sticker Capsule,,100
Sticker | Lynn Vision (Glitter) | Copenhagen 2024,,100
Gamma 2 Case,,100
Desert Eagle | Printstream (Field-Tested),,100
Sticker | Legacy (Glitter) | Copenhagen 2024,,100
Clutch Case,,100
Chroma 3 Case,,100
Sticker | FURIA (Holo) | 2020 RMR,,100
Chroma 2 Case,,100
Gamma Case,,100
Glove Case,,100
Desert Eagle | Tilted (Minimal Wear),,100
Sticker | PGL (Holo) | Stockholm 2021,,100
Sticker | Apeks (Glitter) | Copenhagen 2024,,100
M4A1-S | Emphorosaur-S (Factory New),,100
Tec-9 | Red Quartz (Factory New),,100
PP-Bizon | Cold Cell (Factory New),,100
Paris 2023 Challengers Autograph Capsule,,100
Paris 2023 Challengers Sticker Capsule,,100
Paris 2023 Champions Autograph Capsule,,100
M4A1-S | Black Lotus (Minimal Wear),,100
Paris 2023 Contenders Autograph Capsule,,100
Paris 2023 Contenders Sticker Capsule,,100
Sticker | electroNic (Holo) | Stockholm 2021,,100
Stockholm 2021 Legends Sticker Capsule,,100
Shanghai 2024 Contenders Sticker Capsule,,100
Falchion Case,,100
MAC-10 | Silver (Factory New),,100
Glock-18 | Shinobu (Field-Tested),,100
Sticker | Coiled Strike (Holo),,100
Sticker | The MongolZ (Holo) | Paris 2023,,100
Shanghai 2024 Challengers Sticker Capsule,,100
Shanghai 2024 Legends Sticker Capsule,,100
AK-47 | Ice Coaled (Field-Tested),,100
Shattered Web Case,,100
Spectrum 2 Case,,100
Fever Case,,100
Snakebite Case,,100
Sticker | Team Spirit (Glitter) | Copenhagen 2024,,100
Stockholm 2021 Contenders Sticker Capsule,,100
AK-47 | Ice Coaled (Minimal Wear),,100
eSports 2013 Winter Case,,100
Sticker | Virtus.pro (Holo) | 2020 RMR,,100
Fracture Case,,100
Sticker | 9INE (Glitter) | Paris 2023,,100
Sticker | Evil Geniuses (Holo) | 2020 RMR,,100
Sticker | 100 Thieves (Holo) | 2020 RMR,,100
2020 RMR Challengers,,100
Sticker | Counter-Tech,,100
2020 RMR Legends,,100
2020 RMR Contenders,,100
Sticker | BLAST.tv (Holo) | Paris 2023,,100
Horizon Case,,99
Sticker | Winding Scorch,,99
CS20 Case,,99
Operator | FBI SWAT,,99
Sticker | North (Holo) | 2020 RMR,,99
Shadow Case,,99
Sticker | Grayhound Gaming (Holo) | Paris 2023,,98
3rd Commando Company | KSK,,98
AK-47 | Inheritance (Field-Tested),,98
Antwerp 2022 Champions Autograph Capsule,,98
AK-47 | Redline (Field-Tested),,97
Spectrum Case,,97
USP-S | Jawbreaker (Field-Tested),,97
Operation Bravo Case,,95
AUG | Luxe Trim (Field-Tested),,94
AK-47 | Slate (Minimal Wear),,94
Sticker | High Heat,,93
Sticker | Gold Web (Foil),,93
Stockholm 2021 Mirage Souvenir Package,,93
AK-47 | Head Shot (Field-Tested),,92
AWP | Printstream (Field-Tested),,92
SCAR-20 | Trail Blazer (Field-Tested),,92
Sticker | Clown Nose,,92
AK-47 | Legion of Anubis (Minimal Wear),,91
M4A1-S | Night Terror (Factory New),,91
Desert Eagle | Tilted (Field-Tested),,90
Sticker | Vitality (Holo) | 2020 RMR,,88
USP-S | Printstream (Field-Tested),,88
Operation Hydra Case,,87
Special Agent Ava | FBI,,87
Sticker | Chompers,,87
M4A1-S | Black Lotus (Factory New),,86
M249 | Hypnosis (Field-Tested),,84
AWP | Atheris (Field-Tested),,83
Sticker | G2 Esports (Glitter) | Copenhagen 2024,,83
AK-47 | Olive Polycam (Factory New),,82
PP-Bizon | Candy Apple (Minimal Wear),,82
Enforcer | Phoenix,,81
Sticker | Team Liquid (Holo) | Paris 2023,,80
Seal Team 6 Soldier | NSWC SEAL,,80
CS20 Sticker Capsule,,80
M4A4 | Converter (Factory New),,80
Desert Eagle | Tilted (Factory New),,80
Sticker | TYLOO (Holo) | 2020 RMR,,79
Sticker | Natus Vincere (Glitter) | Copenhagen 2024,,79
Sticker | ECSTATIC (Glitter) | Copenhagen 2024,,78
Number K | The Professionals,,78
Prof. Shahmat | Elite Crew,,78
Sticker | OG (Holo) | 2020 RMR,,78
Dual Berettas | Hydro Strike (Field-Tested),,78
Glock-18 | Vogue (Field-Tested),,77
Sticker | Ninjas in Pyjamas (Foil) | 2020 RMR,,77
AK-47 | Slate (Field-Tested),,76
AK-47 | Searing Rage (Field-Tested),,76
Glock-18 | Candy Apple (Factory New),,76
Desert Eagle | Calligraffiti (Field-Tested),,76
USP-S | 27 (Field-Tested),,75
M4A4 | Mainframe (Factory New),,74
Sticker | Bolt Charge (Foil),,74
USP-S | Check Engine (Factory New),,73
Osiris | Elite Crew,,73
AWP | Chromatic Aberration (Minimal Wear),,73
USP-S | Cortex (Field-Tested),,72
Sticker | Fnatic (Holo) | 2020 RMR,,71
Sticker | XD,,71
M4A1-S | Emphorosaur-S (Minimal Wear),,71
Slingshot | Phoenix,,71
USP-S | Ticket to Hell (Factory New),,71
Street Soldier | Phoenix,,70
Dragomir | Sabre,,70
Sticker | Battle Scarred (Holo),,69
Sticker | Ribbon Tie,,69
Sticker | Hydro Wave,,68
USP-S | Neo-Noir (Factory New),,68
Sticker | Battle Scarred,,68
Michael Syfers  | FBI Sniper,,68
Charm | Big Kev,,68
MAC-10 | Candy Apple (Factory New),,68
AK-47 | Nightwish (Minimal Wear),,67
Soldier | Phoenix,,67
Katowice 2019 Minor Challengers Autograph Capsule,,67
AK-47 | Asiimov (Minimal Wear),,67
AWP | Duality (Field-Tested),,67
Maximus | Sabre,,66
Sticker | Flex,,66
Glock-18 | Death Rattle (Field-Tested),,66
Copenhagen 2024 Champions Autograph Capsule,,65
Ground Rebel  | Elite Crew,,65
'The Doctor' Romanov | Sabre,,65
