name,exterior,statTrak,souvenir,lowestPrice,marketHashName,quantity,dopplerClassName
Danger Zone Case,,False,False,1.29,Danger Zone Case,76309,
Prisma Case,,False,False,1.25,Prisma Case,47604,
Fracture Case,,False,False,0.57,Fracture Case,34501,
Snakebite Case,,False,False,0.59,Snakebite Case,34443,
Prisma 2 Case,,False,False,1.33,Prisma 2 Case,32903,
Recoil Case,,False,False,0.37,Recoil Case,25359,
Horizon Case,,False,False,1.53,Horizon Case,21808,
Spectrum 2 Case,,False,False,2.76,Spectrum 2 Case,20244,
Gallery Case,,False,False,1.72,Gallery Case,15934,
Clutch Case,,False,False,0.85,Clutch Case,15612,
Paris 2023 Contenders Sticker Capsule,,False,False,0.15,Paris 2023 Contenders Sticker Capsule,15019,
Chroma 3 Case,,False,False,3.0,Chroma 3 Case,12678,
CS20 Case,,False,False,1.09,CS20 Case,11898,
Revolution Case,,False,False,0.49,Revolution Case,10755,
Operation Breakout Weapon Case,,False,False,7.0,Operation Breakout Weapon Case,9685,
Paris 2023 Challengers Sticker Capsule,,False,False,0.16,Paris 2023 Challengers Sticker Capsule,9465,
Gamma 2 Case,,False,False,2.98,Gamma 2 Case,9218,
Revolver Case,,False,False,2.9,Revolver Case,8738,
Falchion Case,,False,False,1.59,Falchion Case,8392,
Paris 2023 Legends Sticker Capsule,,False,False,0.23,Paris 2023 Legends Sticker Capsule,7547,
Dreams & Nightmares Case,,False,False,1.54,Dreams & Nightmares Case,7516,
2020 RMR Legends,,False,False,0.3,2020 RMR Legends,7319,
Shadow Case,,False,False,1.66,Shadow Case,6684,
Gamma Case,,False,False,2.95,Gamma Case,6617,
Operation Phoenix Weapon Case,,False,False,4.08,Operation Phoenix Weapon Case,6309,
2020 RMR Challengers,,False,False,0.25,2020 RMR Challengers,6307,
Spectrum Case,,False,False,3.9,Spectrum Case,5915,
Operation Wildfire Case,,False,False,3.05,Operation Wildfire Case,5679,
Chroma 2 Case,,False,False,3.12,Chroma 2 Case,5582,
Kilowatt Case,,False,False,0.38,Kilowatt Case,5416,
Sticker | FURIA (Holo) | 2020 RMR,,False,False,0.49,Sticker | FURIA (Holo) | 2020 RMR,3886,
Antwerp 2022 Challengers Sticker Capsule,,False,False,0.46,Antwerp 2022 Challengers Sticker Capsule,3394,
Paris 2023 Contenders Autograph Capsule,,False,False,0.15,Paris 2023 Contenders Autograph Capsule,3179,
Chroma Case,,False,False,4.58,Chroma Case,2773,
2020 RMR Contenders,,False,False,0.4,2020 RMR Contenders,2755,
Glove Case,,False,False,10.22,Glove Case,2676,
Rio 2022 Legends Sticker Capsule,,False,False,0.35,Rio 2022 Legends Sticker Capsule,2628,
Operation Broken Fang Case,,False,False,7.84,Operation Broken Fang Case,2541,
Stockholm 2021 Champions Autograph Capsule,,False,False,0.72,Stockholm 2021 Champions Autograph Capsule,2494,
Anubis Collection Package,,False,False,1.35,Anubis Collection Package,2394,
Fever Case,,False,False,0.97,Fever Case,2363,
Rio 2022 Contenders Sticker Capsule,,False,False,0.31,Rio 2022 Contenders Sticker Capsule,2345,
Stockholm 2021 Legends Sticker Capsule,,False,False,2.11,Stockholm 2021 Legends Sticker Capsule,2302,
Antwerp 2022 Legends Sticker Capsule,,False,False,0.74,Antwerp 2022 Legends Sticker Capsule,2216,
Copenhagen 2024 Contenders Sticker Capsule,,False,False,0.86,Copenhagen 2024 Contenders Sticker Capsule,2117,
Paris 2023 Challengers Autograph Capsule,,False,False,0.14,Paris 2023 Challengers Autograph Capsule,1953,
Shattered Web Case,,False,False,5.69,Shattered Web Case,1952,
Rio 2022 Challengers Sticker Capsule,,False,False,0.31,Rio 2022 Challengers Sticker Capsule,1672,
Antwerp 2022 Contenders Autograph Capsule,,False,False,0.62,Antwerp 2022 Contenders Autograph Capsule,1612,
Shanghai 2024 Challengers Sticker Capsule,,False,False,0.7,Shanghai 2024 Challengers Sticker Capsule,1447,
Stockholm 2021 Contenders Sticker Capsule,,False,False,3.38,Stockholm 2021 Contenders Sticker Capsule,1439,
Antwerp 2022 Contenders Sticker Capsule,,False,False,0.8,Antwerp 2022 Contenders Sticker Capsule,1414,
Paris 2023 Legends Autograph Capsule,,False,False,0.23,Paris 2023 Legends Autograph Capsule,1397,
Antwerp 2022 Challengers Autograph Capsule,,False,False,0.27,Antwerp 2022 Challengers Autograph Capsule,1192,
Copenhagen 2024 Challengers Sticker Capsule,,False,False,0.82,Copenhagen 2024 Challengers Sticker Capsule,1169,
Berlin 2019 Legends (Holo/Foil),,False,False,2.32,Berlin 2019 Legends (Holo-Foil),1101,
Stockholm 2021 Finalists Autograph Capsule,,False,False,0.66,Stockholm 2021 Finalists Autograph Capsule,1088,
Shanghai 2024 Contenders Sticker Capsule,,False,False,1.09,Shanghai 2024 Contenders Sticker Capsule,1085,
Copenhagen 2024 Legends Autograph Capsule,,False,False,0.49,Copenhagen 2024 Legends Autograph Capsule,1079,
Shanghai 2024 Legends Sticker Capsule,,False,False,0.74,Shanghai 2024 Legends Sticker Capsule,1054,
Operation Vanguard Weapon Case,,False,False,3.8,Operation Vanguard Weapon Case,1053,
Rio 2022 Dust II Souvenir Package,,False,False,2.75,Rio 2022 Dust II Souvenir Package,1031,
Shanghai 2024 Legends Autograph Capsule,,False,False,0.31,Shanghai 2024 Legends Autograph Capsule,1002,
Sticker | FURIA | Berlin 2019,,False,False,0.23,Sticker | FURIA | Berlin 2019,984,
Stockholm 2021 Challengers Sticker Capsule,,False,False,3.7,Stockholm 2021 Challengers Sticker Capsule,938,
Rio 2022 Champions Autograph Capsule,,False,False,0.32,Rio 2022 Champions Autograph Capsule,911,
"Sticker | donk (Glitter, Champion) | Shanghai 2024",,False,False,0.28,"Sticker | donk (Glitter, Champion) | Shanghai 2024",903,
Operation Riptide Case,,False,False,10.59,Operation Riptide Case,833,
Copenhagen 2024 Legends Sticker Capsule,,False,False,0.88,Copenhagen 2024 Legends Sticker Capsule,792,
Sticker | Team Liquid (Glitter) | Paris 2023,,False,False,0.1,Sticker | Team Liquid (Glitter) | Paris 2023,753,
Glock-18 | High Beam,FACTORY_NEW,False,False,0.27,Glock-18 | High Beam (Factory New),706,
Sticker | MOUZ (Glitter) | Paris 2023,,False,False,0.32,Sticker | MOUZ (Glitter) | Paris 2023,691,
Austin 2025 Contenders Sticker Capsule,,False,False,0.77,Austin 2025 Contenders Sticker Capsule,688,
Sticker Capsule 2,,False,False,9.38,Sticker Capsule 2,684,
Paris 2023 Champions Autograph Capsule,,False,False,0.2,Paris 2023 Champions Autograph Capsule,651,
Sticker | Entropiq | Stockholm 2021,,False,False,0.21,Sticker | Entropiq | Stockholm 2021,627,
Copenhagen 2024 Champions Autograph Capsule,,False,False,0.27,Copenhagen 2024 Champions Autograph Capsule,626,
Sticker | Gold Web (Foil),,False,False,9.0,Sticker | Gold Web (Foil),576,
AWP | Capillary,FIELD_TESTED,False,False,0.3,AWP | Capillary (Field-Tested),551,
Sticker | Lynn Vision (Glitter) | Copenhagen 2024,,False,False,1.16,Sticker | Lynn Vision (Glitter) | Copenhagen 2024,548,
eSports 2014 Summer Case,,False,False,11.41,eSports 2014 Summer Case,547,
