name,slope
Sticker__CR4ZY__Berlin_2019,28.7252
Sticker__Ouchie_(Foil),2.4225
Sticker__Complexity_Gaming_(Gold)__Copenhagen_2024,1.0336
AK-47__Bloodsport_(Factory_New),0.7033
Sticker__compLexity_Gaming__Berlin_2019,0.3854
M4A1-S__Cyrex_(Factory_New),0.3633
M4A1-S__Printstream_(Field-Tested),0.3104
Sticker__Dragon_Lore_(Foil),0.2342
FAMAS__Commemoration_(Factory_New),0.2257
Sticker__Vitality_(Holo)__Rio_2022,0.2247
M4A1-S__Fade_(Factory_New),0.2102
AWP__Exoskeleton_(Factory_New),0.2077
Operation_Hydra_Case,0.1965
Stockholm_2021_Challengers_Patch_Pack,0.1619
Sticker__Vitality_(Holo)__Antwerp_2022,0.1568
Sticker__Ethereal_Gaze_(Foil),0.1552
USP-S__Neo-Noir_(Factory_New),0.1492
AK-47__The_Empress_(Well-Worn),0.1451
Stockholm_2021_Legends_Patch_Pack,0.1358
Stockholm_2021_Contenders_Patch_Pack,0.1248
Sticker__Renegades_(Holo)__Stockholm_2021,0.12
Sticker__Complexity_Gaming_(Gold)__Paris_2023,0.1106
AWP__Fever_Dream_(Factory_New),0.104
M4A4__Buzz_Kill_(Minimal_Wear),0.1024
USP-S__Whiteout_(Minimal_Wear),0.1004
Michael_Syfers___FBI_Sniper,0.0914
Trapper__Guerrilla_Warfare,0.089
M4A4__The_Emperor_(Minimal_Wear),0.0874
Sir_Bloody_Skullhead_Darryl__The_Professionals,0.0872
M4A1-S__Cyrex_(Minimal_Wear),0.0847
Little_Kev__The_Professionals,0.0834
AUG__Chameleon_(Factory_New),0.0828
Sticker__Zeusception_(Holo),0.0785
Sticker__Natus_Vincere_(Gold)__2020_RMR,0.0746
Safecracker_Voltzmann__The_Professionals,0.0744
Cmdr._Mae_'Dead_Cold'_Jamison__SWAT,0.0702
Trapper_Aggressor__Guerrilla_Warfare,0.0695
Sticker__Ninjas_in_Pyjamas_(Holo)__Stockholm_2021,0.0691
Sticker__G2_Esports_(Holo)__Paris_2023,0.0676
Sir_Bloody_Darryl_Royale__The_Professionals,0.0672
SSG_08__Dragonfire_(Minimal_Wear),0.0648
Bloody_Darryl_The_Strapped__The_Professionals,0.0635
Desert_Eagle__Heat_Treated_(Field-Tested),0.0598
Sticker__Evil_Geniuses_(Gold)__2020_RMR,0.0533
'The_Doctor'_Romanov__Sabre,0.0521
Sticker__Complexity_Gaming_(Holo)__Copenhagen_2024,0.0474
Lieutenant_Rex_Krikey__SEAL_Frogman,0.0466
Sticker__HooXi_(Glitter)__Copenhagen_2024,0.0448
Sir_Bloody_Silent_Darryl__The_Professionals,0.0441
Operation_Riptide_Case,0.0438
B_Squadron_Officer__SAS,0.0428
Sticker__Complexity_Gaming_(Glitter)__Antwerp_2022,0.0425
Sticker__Gambit_Gaming_(Holo)__Stockholm_2021,0.0418
Sticker__GODSENT_(Holo)__Stockholm_2021,0.0403
Operator__FBI_SWAT,0.0394
Number_K__The_Professionals,0.0388
Dragomir__Sabre_Footsoldier,0.0387
Special_Agent_Ava__FBI,0.0381
The_Elite_Mr._Muhlik__Elite_Crew,0.0367
Seal_Team_6_Soldier__NSWC_SEAL,0.0365
"Music_Kit__TWERL_and_Ekko_&_Sidetrack,_Under_Bright_Lights",0.0363
